Criterion,Sub-criterion,anthropic-claude-haiku-4-5-v1_0,xai-grok-4-1-fast-v1_0,google-gemini-3-flash-v1_0,openai-gpt-5-mini-v1_0,anthropic-claude-haiku-4-5-vanilla,openai-gpt-5-mini-vanilla,xai-grok-4-1-fast-vanilla,google-gemini-3-flash-vanilla,google-gemini-3-flash-v1_0-2,anthropic-claude-haiku-4-5-v1_0-2,xai-grok-4-1-fast-v1_0-2,openai-gpt-5-mini-v1_0-2,anthropic-claude-haiku-4-5-v1_1,xai-grok-4-1-fast-v1_1,google-gemini-3-flash-v1_1,openai-gpt-5-mini-v1_1,anthropic-claude-haiku-4-5-v1_2,xai-grok-4-1-fast-v1_2,google-gemini-3-flash-v1_2,openai-gpt-5-mini-v1_2,xai-grok-4-1-fast-v1_3,anthropic-claude-haiku-4-5-v1_3,openai-gpt-5-mini-v1_3,google-gemini-3-flash-v1_3,xai-grok-4-1-fast-v1_4,anthropic-claude-haiku-4-5-v1_4,google-gemini-3-flash-v1_4,openai-gpt-5-mini-v1_4,openai-gpt-5.4-mini-v1_4
Adherence,Core,4.29,4.36,4.38,4.35,2.97,3.79,3.93,3.76,4.39,4.37,4.39,4.36,4.34,4.52,4.73,4.7,4.35,4.6,4.65,4.81,4.51,4.29,4.78,4.63,4.65,4.35,4.74,4.73,4.34
Adherence,Secondary,3.86,4.26,4.18,4.32,3.15,4.17,4.11,3.95,4.77,4.46,4.54,4.77,3.97,3.98,4.27,4.45,3.95,3.95,4.23,4.39,4.11,4.03,4.51,4.22,4.05,4.08,4.58,4.41,3.55
Adherence,Tertiary_Handling,4.15,4.28,3.91,4.37,3.94,4.48,4.24,4.13,4.81,4.73,4.77,4.94,4.1,4.06,3.98,4.52,4.11,4.0,3.91,4.46,4.06,4.05,4.48,3.83,4.06,4.11,4.25,4.21,4.56
Adherence,Biblical_Basis,4.8,4.96,5,4.9,2.3,3.51,4.04,3.54,5,4.82,4.96,4.85,4.75,4.93,4.99,4.91,4.81,4.88,4.99,4.92,4.91,4.76,4.95,4.99,4.84,4.74,4.98,4.91,4.55
Adherence,Consistency,4.99,5,5,5,4.93,4.99,4.92,4.96,5,4.99,4.98,4.98,4.97,4.99,4.99,5.0,4.99,4.99,5.0,5.0,4.99,4.99,5.0,4.99,4.99,4.98,5.0,5.0,5.0
Adherence,Overall,4.42,4.57,4.49,4.58,3.46,4.19,4.25,4.07,4.79,4.67,4.73,4.78,4.43,4.49,4.59,4.71,4.44,4.48,4.56,4.72,4.52,4.42,4.74,4.53,4.52,4.45,4.71,4.65,4.4
Kindness_and_Gentleness,Core_Clarity_with_Kindness,4.48,4.85,4.93,4.85,3.38,3.94,3.67,3.71,5,4.92,4.99,4.95,4.56,4.69,4.93,4.9,4.53,4.54,4.95,4.82,4.51,4.52,4.8,4.92,4.45,4.58,4.96,4.72,4.83
Kindness_and_Gentleness,Pastoral_Sensitivity,3.02,3.05,3.03,3.05,2.98,2.98,3.02,2.95,3.03,3.03,3.05,3.05,3.04,3.06,3.0,3.02,3.83,3.61,4.02,3.84,3.72,3.83,3.88,4.1,3.66,3.9,4.09,3.84,4.2
Kindness_and_Gentleness,Secondary_Fairness,3.59,3.87,3.69,4.03,3.73,4.3,4.05,3.95,4.61,4.39,4.41,4.7,3.7,3.64,3.75,4.28,3.57,3.55,3.63,4.01,3.54,3.63,4.03,3.57,3.77,3.63,4.12,4.05,3.71
Kindness_and_Gentleness,Tertiary_Neutrality,4.25,4.32,3.99,4.52,4.34,4.64,4.38,4.16,4.83,4.74,4.75,4.93,4.08,4.03,3.96,4.61,4.17,3.96,3.96,4.65,4.06,4.17,4.48,3.94,4.03,4.21,4.24,4.42,4.55
Kindness_and_Gentleness,Tone,4.34,4.72,4.87,4.75,3.87,4.22,3.88,3.96,5,4.86,4.96,4.86,4.43,4.49,4.85,4.83,4.34,4.22,4.82,4.69,4.22,4.32,4.73,4.81,4.12,4.38,4.87,4.62,4.64
Kindness_and_Gentleness,Overall,3.94,4.16,4.1,4.24,3.66,4.01,3.8,3.75,4.49,4.39,4.43,4.5,3.96,3.98,4.1,4.33,4.09,3.98,4.28,4.4,4.01,4.09,4.38,4.27,4.01,4.14,4.45,4.33,4.39
Interfaith_Sensitivity,Respect_and_Handling_Objections,3.31,3.41,3.34,3.69,3.33,3.94,3.75,3.78,4.38,4.12,4.3,4.18,3.36,3.43,3.3,3.76,3.52,3.53,3.51,3.79,3.12,3.41,3.48,3.45,3.57,3.55,3.68,3.81,3.88
Interfaith_Sensitivity,Objection_Acknowledgement,2.99,3.17,3.11,3.4,3.01,3.81,3.58,3.52,4.23,3.85,4.07,3.76,3.3,3.12,3.27,3.57,3.44,3.3,3.49,3.46,2.63,3.23,3.15,3.5,3.1,3.38,3.66,3.59,2.5
Interfaith_Sensitivity,Evangelism,3.69,4.38,5,4.78,1.78,2.57,2.66,2.18,5,4.19,4.67,4.79,3.9,4.08,5.0,4.7,3.84,3.87,4.96,4.51,3.76,3.93,4.62,4.94,3.9,3.66,4.87,4.67,3.8
Interfaith_Sensitivity,Gospel_Boldness,4.48,4.66,4.92,4.71,3.52,3.75,3.88,3.86,5,4.9,4.99,4.96,4.46,4.57,4.88,4.7,4.5,4.52,4.95,4.66,4.36,4.36,4.54,4.85,4.41,4.22,4.92,4.69,4.25
Interfaith_Sensitivity,Overall,3.62,3.91,4.09,4.14,2.91,3.52,3.47,3.33,4.65,4.27,4.51,4.42,3.75,3.8,4.11,4.18,3.83,3.8,4.23,4.11,3.47,3.73,3.95,4.19,3.75,3.7,4.28,4.19,3.61
